Name,Label,Units,Description,Module
``e^theta*sqrt(g)``,:math:`\mathbf{e}^{\theta} \sqrt{g}`,square meters,Contravariant poloidal basis vector weighted by 3-D volume Jacobian,``desc.compute._basis_vectors``
``n_rho``,:math:`\hat{\mathbf{n}}_{\rho}`,None,Unit vector normal to constant rho surface (direction of e^rho),``desc.compute._basis_vectors``
``n_theta``,:math:`\hat{\mathbf{n}}_{\theta}`,None,Unit vector normal to constant theta surface (direction of e^theta),``desc.compute._basis_vectors``
``n_zeta``,:math:`\hat{\mathbf{n}}_{\zeta}`,None,Unit vector normal to constant zeta surface (direction of e^zeta),``desc.compute._basis_vectors``
``V``,:math:`V`,cubic meters,Volume,``desc.compute._geometry``
``S``,:math:`S`,square meters,Surface area of outermost flux surface,``desc.compute._geometry``
``L_sff_rho``,":math:`L_{\mathrm{SFF},\rho}`",meters,L coefficient of second fundamental form of constant rho surface,``desc.compute._geometry``
``M_sff_rho``,":math:`M_{\mathrm{SFF},\rho}`",meters,M coefficient of second fundamental form of constant rho surface,``desc.compute._geometry``
``N_sff_rho``,":math:`N_{\mathrm{SFF},\rho}`",meters,N coefficient of second fundamental form of constant rho surface,``desc.compute._geometry``
``curvature_k1_rho``,":math:`k_{1,\rho}`",Inverse meters,First principle curvature of constant rho surfaces,``desc.compute._geometry``
``curvature_k2_rho``,":math:`k_{2,\rho}`",Inverse meters,Second principle curvature of constant rho surfaces,``desc.compute._geometry``
``curvature_K_rho``,:math:`K_{\rho}`,meters squared,Gaussian curvature of constant rho surfaces,``desc.compute._geometry``
``curvature_H_rho``,:math:`H_{\rho}`,meters,Mean curvature of constant rho surfaces,``desc.compute._geometry``
``|e_theta x e_zeta|``,:math:`|\mathbf{e}_{\theta} \times \mathbf{e}_{\zeta}|`,square meters,2D Jacobian determinant for constant rho surface,``desc.compute._metric``
``|e_theta x e_zeta|_r``,:math:`\partial_{\rho} |\mathbf{e}_{\theta} \times \mathbf{e}_{\zeta}|`,square meters,2D Jacobian determinant for constant rho surface derivative wrt radial coordinate,``desc.compute._metric``
``|e_theta x e_zeta|_rr``,:math:`\partial_{\rho\rho} |\mathbf{e}_{\theta} \times \mathbf{e}_{\zeta}|`,square meters,2D Jacobian determinant for constant rho surface second derivative wrt radial coordinate,``desc.compute._metric``
``|e_zeta x e_rho|``,:math:`|\mathbf{e}_{\zeta} \times \mathbf{e}_{\rho}|`,square meters,2D Jacobian determinant for constant theta surface,``desc.compute._metric``
``|e_rho x e_theta|``,:math:`|\mathbf{e}_{\rho} \times \mathbf{e}_{\theta}|`,square meters,2D Jacobian determinant for constant zeta surface,``desc.compute._metric``
``|e_rho x e_theta|_r``,:math:`\partial_{\rho} |\mathbf{e}_{\rho} \times \mathbf{e}_{\theta}|`,square meters,2D Jacobian determinant for constant zeta surface derivative wrt radial coordinate,``desc.compute._metric``
``|e_rho x e_theta|_rr``,:math:`\partial_{\rho \rho} |\mathbf{e}_{\rho} \times \mathbf{e}_{\theta}|`,square meters,2D Jacobian determinant for constant zeta surface second derivative wrt radial coordinate,``desc.compute._metric``
``g_rr``,:math:`g_{\rho\rho}`,square meters,Radial/Radial element of covariant metric tensor,``desc.compute._metric``
``g_tt``,:math:`g_{\theta\theta}`,square meters,Poloidal/Poloidal element of covariant metric tensor,``desc.compute._metric``
``g_zz``,:math:`g_{\zeta\zeta}`,square meters,Toroidal/Toroidal element of covariant metric tensor,``desc.compute._metric``
``g_rt``,:math:`g_{\rho\theta}`,square meters,Radial/Poloidal element of covariant metric tensor,``desc.compute._metric``
``g_rz``,:math:`g_{\rho\zeta}`,square meters,Radial/Toroidal element of covariant metric tensor,``desc.compute._metric``
``g_tz``,:math:`g_{\theta\zeta}`,square meters,Poloidal/Toroidal element of covariant metric tensor,``desc.compute._metric``
``g_tt_r``,:math:`\partial_{\rho} g_{\theta\theta}`,square meters,"Poloidal/Poloidal element of covariant metric tensor, derivative wrt rho",``desc.compute._metric``
``g_tz_r``,:math:`\partial_{\rho} g_{\theta\zeta}`,square meters,"Poloidal/Toroidal element of covariant metric tensor, derivative wrt rho",``desc.compute._metric``
``x``,:math:`\mathbf{r}`,meters,Position vector along surface,``desc.compute._surface``
``R``,:math:`R`,meters,Cylindrical radial position along surface,``desc.compute._surface``
``phi``,:math:`\phi`,radians,Toroidal phi position along surface,``desc.compute._surface``
``Z``,:math:`Z`,meters,Cylindrical vertical position along surface,``desc.compute._surface``
``e_rho``,:math:`\mathbf{e}_{\rho}`,meters,Covariant radial basis vector,``desc.compute._surface``
``e_theta``,:math:`\mathbf{e}_{\theta}`,meters,Covariant poloidal basis vector,``desc.compute._surface``
``e_zeta``,:math:`\mathbf{e}_{\zeta}`,meters,Covariant toroidal basis vector,``desc.compute._surface``
``e_rho_r``,:math:`\partial_{\rho} \mathbf{e}_{\rho}`,meters,"Covariant radial basis vector, derivative wrt radial coordinate",``desc.compute._surface``
``e_rho_rr``,:math:`\partial_{\rho \rho} \mathbf{e}_{\rho}`,meters,"Covariant radial basis vector, second derivative wrt radial coordinate",``desc.compute._surface``
``e_rho_t``,:math:`\partial_{\theta} \mathbf{e}_{\rho}`,meters,"Covariant radial basis vector, derivative wrt poloidal angle",``desc.compute._surface``
``e_rho_z``,:math:`\partial_{\zeta} \mathbf{e}_{\rho}`,meters,"Covariant radial basis vector, derivative wrt toroidal angle",``desc.compute._surface``
``e_theta_r``,:math:`\partial_{\rho} \mathbf{e}_{\theta}`,meters,"Covariant poloidal basis vector, derivative wrt radial coordinate",``desc.compute._surface``
``e_theta_rr``,:math:`\partial_{\rho \rho} \mathbf{e}_{\theta}`,meters,"Covariant poloidal basis vector, second derivative wrt radial coordinate",``desc.compute._surface``
``e_theta_t``,:math:`\partial_{\theta} \mathbf{e}_{\theta}`,meters,"Covariant poloidal basis vector, derivative wrt poloidal angle",``desc.compute._surface``
``e_theta_z``,:math:`\partial_{\zeta} \mathbf{e}_{\theta}`,meters,"Covariant poloidal basis vector, derivative wrt toroidal angle",``desc.compute._surface``
``e_zeta_r``,:math:`\partial_{\rho} \mathbf{e}_{\zeta}`,meters,"Covariant toroidal basis vector, derivative wrt radial coordinate",``desc.compute._surface``
``e_zeta_rr``,:math:`\partial_{\rho \rho} \mathbf{e}_{\zeta}`,meters,"Covariant toroidal basis vector, second derivative wrt radial coordinate",``desc.compute._surface``
``e_zeta_t``,:math:`\partial_{\theta} \mathbf{e}_{\zeta}`,meters,"Covariant toroidal basis vector, derivative wrt poloidal angle",``desc.compute._surface``
``e_zeta_z``,:math:`\partial_{\zeta} \mathbf{e}_{\zeta}`,meters,"Covariant toroidal basis vector, derivative wrt toroidal angle",``desc.compute._surface``
``Phi``,:math:`\Phi`,Amperes,Surface current potential,``desc.compute._surface``
``Phi_t``,:math:`\partial_{\theta}\Phi`,Amperes,"Surface current potential, poloidal derivative",``desc.compute._surface``
``Phi_z``,:math:`\partial_{\zeta}\Phi`,Amperes,"Surface current potential, toroidal derivative",``desc.compute._surface``
``K``,:math:`\mathbf{K}`,Amperes per meter,"Surface current density, defined as thesurface normal vector cross the gradient of the current potential.",``desc.compute._surface``
