import time: self [us] | cumulative | imported package
import time:       119 |        119 |   _io
import time:        21 |         21 |   marshal
import time:       188 |        188 |   posix
import time:       403 |        729 | _frozen_importlib_external
import time:        52 |         52 |   time
import time:       139 |        190 | zipimport
import time:        23 |         23 |     _codecs
import time:       304 |        327 |   codecs
import time:       219 |        219 |   encodings.aliases
import time:       308 |        853 | encodings
import time:        91 |         91 | encodings.utf_8
import time:        51 |         51 | _signal
import time:        16 |         16 |     _abc
import time:       109 |        125 |   abc
import time:       102 |        227 | io
import time:        24 |         24 |       _stat
import time:        72 |         96 |     stat
import time:       513 |        513 |     _collections_abc
import time:        47 |         47 |       errno
import time:        59 |         59 |       genericpath
import time:       104 |        209 |     posixpath
import time:       314 |       1131 |   os
import time:        58 |         58 |   _sitebuiltins
import time:       229 |        229 |   encodings.utf_8_sig
import time:        78 |         78 |     importlib
import time:        46 |         46 |       importlib.machinery
import time:        95 |         95 |       importlib._abc
import time:       196 |        196 |       warnings
import time:        60 |         60 |                   itertools
import time:        61 |         61 |                   keyword
import time:        40 |         40 |                     _operator
import time:       164 |        203 |                   operator
import time:       118 |        118 |                   reprlib
import time:        41 |         41 |                   _collections
import time:       655 |       1135 |                 collections
import time:        45 |         45 |                 _functools
import time:       367 |       1546 |               functools
import time:       153 |        153 |                   types
import time:       389 |        541 |                 contextlib
import time:       782 |        782 |                   enum
import time:        43 |         43 |                     _sre
import time:       302 |        302 |                       re._constants
import time:       290 |        592 |                     re._parser
import time:        76 |         76 |                     re._casefix
import time:       321 |       1031 |                   re._compiler
import time:       105 |        105 |                   copyreg
import time:       381 |       2298 |                 re
import time:        74 |         74 |                 fnmatch
import time:       371 |       3282 |               glob
import time:       303 |       5130 |             pathlib._abc
import time:        62 |         62 |                 _winapi
import time:        86 |         86 |                 nt
import time:        48 |         48 |                 nt
import time:        28 |         28 |                 nt
import time:        26 |         26 |                 nt
import time:        26 |         26 |                 nt
import time:        26 |         26 |                 nt
import time:        27 |         27 |                 nt
import time:       575 |        900 |               ntpath
import time:        35 |         35 |               pwd
import time:       108 |        108 |               grp
import time:       447 |       1488 |             pathlib._local
import time:       100 |       6718 |           pathlib
import time:       172 |        172 |               zlib
import time:       105 |        105 |                 _compression
import time:       723 |        723 |                 _bz2
import time:       323 |       1150 |               bz2
import time:       180 |        180 |                 _lzma
import time:       210 |        389 |               lzma
import time:       742 |       2451 |             shutil
import time:       135 |        135 |               math
import time:        83 |         83 |                 _bisect
import time:        98 |        180 |               bisect
